id,first_name,last_name,age,score,value
70721,Jennifer,Perkins,60,338,115356.55
70735,Eric,Olson,27,665,3975.59
71120,Jonathan,Blevins,39,423,13456.24
71787,Maria,West,29,453,7271.65
71943,Catherine,Sherman,45,416,11873.05
72035,Mike,Evans,53,288,24561.64
72631,Scott,Johnson,47,517,43254.45
74271,Mike,Fisher,44,629,15712.7
75015,Kelly,Murray,43,542,0.0
75593,Regina,Morgan,47,614,95351.02
76282,Ashley,Lynch,53,519,14612.16
76613,Craig,Lewis,31,340,14766.8
78041,Heather,Ibarra,52,494,79594.31
79083,Michael,Simmons,54,490,0.0
79114,Steven,Kent,32,574,10087.18
80217,Kellie,Ryan,60,183,5060.72
80411,Tina,Yu,56,525,29622.86
80593,Donald,Melton,42,625,20393.78
80765,David,Andrews,53,545,0.0
81068,Aaron,Roberts,32,617,4745.92
81282,Emily,Medina,23,775,9116.03
81648,Debbie,Barrett,49,766,18573.58
82183,Tamara,Jenkins,46,-1,23914.62
82826,Allison,Day,34,523,23130.71
83528,Brenda,Green,28,794,5233.1
83590,Alexander,Murphy,60,377,8930.89
84203,Warren,Wilson,34,-1,17172.97
84475,Brenda,Cox,64,-1,91349.57
84683,Jessica,Bryant,42,840,204999.96
84812,Amanda,Williams,14,749,5241.51
84838,Renee,Lyons,39,399,0.0
84846,Eric,Smith,39,714,15188.88
84965,Robert,Black,59,-1,13873.11
85812,Mark,Payne,51,563,32609.97
86230,Jose,Adams,41,551,7416.68
86560,John,Blevins,50,534,29842.6
86711,Ashley,Alexander,54,459,11137.09
87122,Douglas,Hogan,49,-1,21598.29
87738,Gregory,Sutton,46,462,42052.3
87876,Austin,Dixon,44,303,5787.5
87928,Alexandra,Miller,36,752,12297.85
88273,David,Matthews,49,309,7018.32
88340,Autumn,Brooks,52,587,36261.02
88868,Ralph,Wilkinson,51,496,12232.08
89550,Daniel,Sharp,43,448,8150.64
89765,Charles,Thompson,46,678,8285.88
89922,Robert,Woods,64,282,161540.81
90113,Karen,Morgan,37,371,21187.93
90367,Kevin,Stewart,48,700,0.0
91524,Jamie,Gardner,50,291,21141.69
91623,Amanda,Webb,54,339,62692.36
91893,Kelsey,Martin,52,-1,40206.46
91921,Javier,Brooks,38,658,15437.74
91946,Susan,Garcia,34,664,7084.82
92298,Jennifer,Marks,39,-1,36443.84
93114,Kerri,Fields,44,478,33086.07
93989,David,Adkins,48,460,2434.35
94421,Tracy,Reyes,57,284,11442.11
94628,Shannon,Andrews,45,426,9593.03
94730,Lisa,Dominguez,22,-1,
95502,Julia,Oliver,57,354,23522.87
96101,Wayne,Bentley,28,918,18303.2
96293,Michael,Phillips,32,-1,9159.9
96371,Sherri,Austin,46,698,29412.01
97441,Krista,Ortiz,34,-1,24074.79
97728,Anna,Chambers,37,598,0.0
98115,Jennifer,Pitts,29,606,6876.75
98284,Brittany,Jenkins,34,665,43525.88
98366,Katelyn,Brown,45,501,29668.38
